"docid"	"segmentid"	"verb"	"text"	"ANNOTATOR1"	"ANNOTATOR2"	"MERGED"
"brown_lore"	"1"	"look"	"De La Laude , commander of the Alabama post , had the friendship of the natives , and was able to make them look upon the British as poor competitors ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_fiction"	"2"	"look"	"They looked , even so ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"3"	"look"	"Pat paused there , looking across at the young fellow ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"4"	"look"	"He was younger than Theresa : she remembered looking down and seeing his great round eyes , while at the same time she was dimly aware that her mother and father were not unamused ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"5"	"look"	"He looked off to the crest of the Sierras , still white-topped ; ;"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"6"	"look"	"But much of the land which the aborigine wanders looks as if it should be hospitable ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"7"	"look"	"The Commissioners at Boston wrote the victims to see their misdeeds and repent or they should `` look upon them as men prepared for slaughter '' ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_religion"	"8"	"look"	"One night there were some dried peas lying on our kitchen table , and these peas looked to me like a little group of atoms ; ;"	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"9"	"look"	"Alec leaned forward to look ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"10"	"look"	"My , you look chipper '' ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"11"	"look"	"The dirty , discolored buildings looked boarded up , and their few windows stood high above our heads ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_government"	"12"	"look"	"In sum , I look for another good year for the electronics industry in 1961 , with total sales increasing about 7% to $10.8 billion , despite the uncertainties in the business outlook generally ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_lore"	"13"	"look"	"If we look at the situation this way , we can get an idea of Khrushchev's nightmarish worries -- or , at least , of the worries he might have if his enemies were disposed to exploit their advantage ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"14"	"look"	"The results looked as follows : Af ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"15"	"look"	"We had stopped before a shop window to assess its autumnal display , when you suddenly turned to me , looking up from beneath one of your wrong hats , and with your nervous `` ahem '' ! !"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"16"	"look"	"Suppose Lauren comes looking for us ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"17"	"look"	"The Eichmann case looked to the past , not to the future ."	"DYNAMIC"	"BOTH"	"BOTH"
"brown_science_fiction"	"18"	"look"	"The surveyor looked sidewise at the captain ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"19"	"look"	"They were better trained , better looking , better built , better disciplined and something else -- they were better dancers ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"20"	"look"	"Shayne looked at his watch ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
