"token"	"begin"	"end"	"clauseAdverbDegree"	"clauseAdverbPred"	"clauseHasTmod"	"clauseNumMod"	"depRel0"	"depRel1"	"depRel2"	"depRel3"	"depRel4"	"predicate_lemma"	"predicate_pos"	"predicate_sense0"	"predicate_sense1"	"predicate_sense2"	"predicate_sense3"	"predicate_senseTop"	"predicate_wnGranularity"	"predicate_wnLexicalFilename"	"verb_coarseTense"	"verb_lemma"	"verb_perfect"	"verb_pos"	"verb_progressive"	"verb_tense"	"verb_voice"
"described"	"78"	"87"	"none"	"none"	"false"	"0"						"describe"	"VBN"	"00987071-V"	"01001294-V"	"00955601-V"	"00939857-V"	"02367363-V"	"8"	"verb.communication"	"present"	"describe"	"true"	"VBN"	"false"	"pres_perf"	"active"
"is"	"180"	"182"	"none"	"none"	"false"	"2"	"cop"					"place"	"NN"	"08664443-N"	"08620061-N"	"00027167-N"	"00002684-N"	"00001740-N"	"5"	"noun.location"	"present"	"be"	"false"	"VBZ"	"false"	"pres"	"active"
"is"	"216"	"218"	"positive"	"—"	"false"	"1"	"cop"					"crowd"	"JJ"								"present"	"be"	"false"	"VBZ"	"false"	"pres"	"active"
"has"	"232"	"235"	"none"	"none"	"false"	"0"	"ccomp"					"have"	"VBZ"					"02203362-V"	"0"	"verb.possession"	"present"	"have"	"false"	"VBZ"	"false"	"pres"	"active"
"is"	"293"	"295"	"positive"	"also"	"false"	"1"	"cop"	"conj_and"	"conj_and"	"conj_and"	"conj_and"	"efficient"	"JJ"					"00839619-A"	"0"	"adj.all"	"present"	"be"	"false"	"VBZ"	"false"	"pres"	"active"
"hear"	"414"	"418"	"positive"	"n’t"	"false"	"1"	"rcmod"	"dep"	"conj_and"	"conj_and"	"conj_and"	"hear"	"VB"	"02169702-V"				"02106506-V"	"1"	"verb.perception"	"none"	"hear"	"false"	"VB"	"false"	"other"	"unknown"
"raised"	"426"	"432"	"none"	"none"	"false"	"0"	"vmod"	"dobj"	"rcmod"	"dep"	"conj_and"	"raise"	"VBN"	"00158503-V"	"00153263-V"			"00126264-V"	"2"	"verb.change"	"none"	"raise"	"false"	"VBN"	"false"	"other"	"unknown"
"sitting"	"453"	"460"	"none"	"none"	"false"	"0"	"vmod"	"conj_or"	"prep_in"	"vmod"	"dobj"	"sit"	"VBG"					"01543123-V"	"0"	"verb.contact"	"none"	"sit"	"false"	"VBG"	"false"	"other"	"unknown"
"ends"	"511"	"515"	"positive"	"none"	"false"	"1"						"end"	"VBZ"					"02609764-V"	"0"	"verb.stative"	"present"	"end"	"false"	"VBZ"	"false"	"pres"	"active"
"’s"	"523"	"525"	"positive"	"down"	"false"	"2"	"ccomp"	"acomp"				"’s"	"VBD"								"past"	"’s"	"false"	"VBD"	"false"	"sim_past"	"active"
"find"	"584"	"588"	"positive"	"’ll"	"false"	"1"						"find"	"VBP"					"02248465-V"	"0"	"verb.possession"	"present"	"find"	"false"	"VBP"	"false"	"pres"	"active"
"get"	"607"	"610"	"positive"	"around"	"false"	"1"	"xcomp"	"amod"	"dobj"			"get"	"VB"					"02210855-V"	"0"	"verb.possession"	"none"	"get"	"false"	"VB"	"false"	"infinitif"	"active"
"spoken"	"647"	"653"	"positive"	"everywhere"	"false"	"1"	"vmod"	"conj_and"	"dobj"			"speak"	"VBN"	"00941990-V"	"00740577-V"	"02376958-V"		"02367363-V"	"3"	"verb.communication"	"none"	"speak"	"false"	"VBN"	"false"	"other"	"unknown"
"lives"	"680"	"685"	"none"	"none"	"false"	"1"	"rcmod"	"conj_and"	"dobj"			"live"	"VBZ"	"02649830-V"				"02655135-V"	"1"	"verb.stative"	"present"	"live"	"false"	"VBZ"	"false"	"pres"	"active"
"reverted"	"762"	"770"	"none"	"none"	"true"	"1"						"revert"	"VBN"	"00387310-V"	"00138508-V"			"00109660-V"	"2"	"verb.change"	"none"	"revert"	"false"	"VBN"	"false"	"other"	"unknown"
