verb	freq	adv_continuous	adv_evaluation	adv_manner	adv_temporal	for_pp	fut	in_pp	neg	noSubj	past	perfect	present	progressive	prt
a$	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a-1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
a-2	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a-active	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a-b	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a-class	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a-coming	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5
a-h	1	1	1	1	1	1	1	1	1	2	1	1	5	1	1
a-memphis	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a-share	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a-t-il	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a-tvold	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
a-vancouver	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a.	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
a.a.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
a.c.	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
a.d.	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1
a.e	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a.h.	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
a.j.	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a.k.a.	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a.m.	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
a.p.	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a.r.c.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
a1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a2	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a2t	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
a3	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
a3e0live	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a3ove	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a4	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a41ey	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a5	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
a6	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
a\/4kqdng	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a\/beijing\/262	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a\/d	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a\/k\/a	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
a\/te	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aa	1	1	1	1	1	1	1	1	1	4	1	1	3	1	1
aa-3	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aaa	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aaat	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
aabout	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
aac	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
